"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.1625588064994e-11,0.802940168773122,1,0.887,2.22485252939418e-06,"HLA-DPB1"
1.04926861158506e-10,0.741948274764769,0.993,0.812,2.54783404265085e-06,"TYROBP"
1.47273573662918e-10,0.745443806028771,0.93,0.535,3.57609691568296e-06,"PLXDC2"
2.1322725653587e-10,2.11365963559592,0.408,0.122,5.17758424320398e-06,"CD1D"
3.16886330069922e-10,0.95213450366488,0.93,0.721,7.69463386675786e-06,"CEBPB"
3.20902138154021e-10,-0.504726133644619,0.732,0.502,7.79214571865593e-06,"A2M"
3.34623525512994e-10,1.12813912201791,0.859,0.486,8.12532844650651e-06,"CD86"
6.62301215290328e-10,1.08487116144554,0.958,0.664,1.60819981096797e-05,"YWHAH"
8.57967390464889e-10,-5.68912290191227,0.127,0.439,2.08331641752684e-05,"IGKC"
9.30441664261156e-10,0.750865427861467,1,0.911,2.25929844915894e-05,"HLA-DPA1"
1.03335343876558e-09,1.1691476845561,0.838,0.462,2.50918882001058e-05,"GNAQ"
1.07924357362615e-09,-4.9725239094001,0.049,0.35,2.62061924547902e-05,"JCHAIN"
2.3581874449507e-09,1.15782789267862,0.676,0.319,5.72615075382928e-05,"GABARAPL1"
3.06194949739075e-09,0.852355077885717,0.887,0.709,7.43502576956421e-05,"HIF1A"
3.77636681770948e-09,1.11542460543201,0.845,0.512,9.16977390676217e-05,"MNDA"
4.73288512403504e-09,1.07811609612789,0.69,0.308,0.000114923916581819,"FILIP1L"
4.81300041660386e-09,1.54053182176341,0.514,0.19,0.000116869276115975,"CHML"
5.52738571224332e-09,2.7534162997516,0.282,0.049,0.000134215979864692,"CEACAM4"
7.25332811942151e-09,0.714419587863251,0.958,0.629,0.000176125313395793,"LIMS1"
7.49335821739022e-09,1.61031502871897,0.472,0.15,0.000181953724234669,"CLEC12A"
9.45187413156201e-09,0.687477664259712,0.951,0.606,0.000229510407662589,"LST1"
9.59537292695415e-09,1.03953189986471,0.852,0.512,0.000232994845412301,"PICALM"
1.14443425384408e-08,1.4869625070962,0.683,0.333,0.000277891525518419,"SRGAP1"
1.154307583463e-08,1.58104493217225,0.62,0.3,0.000280288967416485,"C15orf48"
1.33559720005803e-08,1.48231946867088,0.606,0.268,0.000324309712118092,"FBP1"
1.45473662169106e-08,-1.70634289701036,0.113,0.272,0.000353239146479023,"SLAMF7"
1.69591679112477e-08,1.38559013296322,0.408,0.164,0.000411802515220916,"IL1R2"
1.88644619828705e-08,-1.13232337695041,0.415,0.5,0.000458066865868062,"FCGBP"
1.94973994299159e-08,1.25262077188832,0.338,0.167,0.000473435852957217,"THBS1"
2.05487985239768e-08,2.27375362974903,0.31,0.075,0.000498965925759205,"SEMA6B"
2.3388849469234e-08,0.848869005307396,0.93,0.631,0.000567928042811941,"CEBPD"
2.46622822088264e-08,0.644298088123512,0.993,0.852,0.000598849536594723,"CST3"
2.52245127968077e-08,0.817833234649953,0.986,0.73,0.000612501619732085,"COTL1"
2.76138479920708e-08,0.808148480049775,0.944,0.631,0.000670519456943463,"HLA-DRB5"
2.99520993876725e-08,0.958941061717327,0.887,0.514,0.000727296877331463,"RAB31"
3.87833956131598e-08,1.16865458957139,0.845,0.491,0.000941738412278747,"PLSCR1"
4.0626957837002e-08,1.14900177182422,0.824,0.573,0.000986503790198083,"TIMP1"
4.51064696838728e-08,1.76248407344552,0.451,0.181,0.0010952752968638,"LILRB3"
4.52748196960861e-08,0.984723801878695,0.873,0.516,0.00109936317186036,"ALDH2"
4.57366697087272e-08,0.942318970989677,0.831,0.573,0.00111057781386731,"FKBP5"
